translation,transliteration
our father's house,É a-bi-a
the ancestral spirits of my father's house,e-ta-me É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
Clear the affairs of your father's house,É a-bi-ku-nu za-ki-a
No evildoer should harm you,ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
save,e-té-er
clear,za-ki-a
cleanse,e-sa-lum
bring in order,e-sa-lum
"our father's house",É a-bi-a
the ancestral spirits of my father's house,e-ta-me É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
Clear the affairs of your father's house,É a-bi-ku-nu za-ki-a
No evildoer should harm you,ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
save,e-té-er
clear,za-ki-a
Yes,i-na
as follows,ma-ah-ri-ni
Pay,e-ta-wu-ru-um
the debt,ha-bu-ul
of your brother,a-hi-kà
both here and abroad,lu a-na-kam
and then go,ù a-lik-ma
and take it again,i-na KÙ.BABBAR-ap
out of your brother's silver,a-hi-kà
If there is no silver,su-ma
belonging to your brother,[KÙ.BABAR]-ap a-hi-kà la-su
then pay,i-na na-ru-qi-kà
out of your joint-stock capital,su-qul
My dear sister,a-ha-ti a-ti be-el-ti a-ti
my dear lady,a-ma-kam
if there is any silver,"i-na KU.BABBAR s""a E a-bi4-ni"
there of our father's house,su-ma i-ba-si
then satisfy,DUMU I-da-a-a tà-i-bi4
Idaya's son,su-ma la li-bi4-ki
If you do not wish,a-[ma]-kam É-ti-a
to do that,Pi-la-ah-A-sùr li-di-ma
then let Pilah-Assur,tam-kà-ri lu-sa-bi4
sell my house,a-ma-la
there to pay off,na-as-pè-er-tim sa as-pu
my creditor,ra-ki-ni a-na-kam
In accordance,"I-na-a a s""u ma ki"
with the missive,it a-na su-mi É a-bi-ki
I sent to you,tam-kà-ri e-ta-uru
Innaya has here,kt 94/k 1742: 26-29
discussed-with,u a-ha-ma
the customers,40 ma-na KU.BABBAR sa-ru-pa-am
in your name,sa a-na su-mi É a-bi4-a
and in the name,a-na Pl-
