4 talents 50 minas of wool,4 GÛ 50 ma-na 2 SIG . HI . A
"A's share, which B collected in G/K/Qarpata",qd-tdm sa 3 A 4 sa i-na GA-ar -d-ta
B will make freely available for him,iı-ba-lcd-td-§u
"if they take wool in Luhusuddia, send A and B",§u-ma sa-âd -tdm i-Lu-hu-stiı-\ndi-a 8 i-lâ-qi-û A it
and let them come here to take my share of wool along,9 B tù-ru-ud-ma 10 li-li-ku-nim' sa-cep-tdm lı qd-ti
then lock it up in the store and put it under seal,lu-\nub-lu-nim-ma i-hu-uy-§i-im 12 j5i4i-si-ma û ku-nu-uk-si
"if one is taking it in Kani§, take my share",§u-ma i-Kà-\nni-is i-là-qi-û 14 qd-ti li-qi-ma
put it under seal and let it remain in store,ku-nu-uk-si-ma i5 li-bi4 si
"if one can deposit silver in the bit kdrim, as payment for the purchase of wool",§u-ma É 29 kà-ri-im KÙ . BABBAR 3° si-im sa-â~-tim
then pay silver,KÙ . BABBAR §u-qi -ul
if the taking of the wool is delayed,su-ma sa-cep-tdm a-ld-qcd-im 27 a-hu-ra-at
shares,SIG . HI . A
in G/K/Qarpata,i-na GA-ar -d-ta
A and B,A it 9 B
my share of wool,sa-cep-tdm lı qd-ti
store,li-bi4 si
seal,ku-nu-uk-si
silver,KÙ . BABBAR
wool,sa-âd -tdm
take,i-là-qi-û
collected,ils-q2-i
will make freely available,iı-ba-lcd-td-§u
delayed,a-hu-ra-at
copper,URUDU
minas,ma-na
even there,a-di-in-ma
they received,i-di-in
talents,GÛ
refined copper,URUDU SIG5
fleeces,ma-ski
sold,wa-di-ii-tim
the rest of your copper,si-ti URUDU-kà
proceeds,SÎG . HI . A
dyed wool,SÎG . HI . A s2-ni-tim
transported by,sa se-eß
collected with,i§'-ti
retail merchants,ßd-si-ri
red wool,SIG! . HI . A sà-am-tum
let him not be worried,i-pd-ri-ni
before my departure,a-tal-ku
turn into copper,li-tur4-ma
refined copper,URUDU SIG5 lu-ta-i-ru
our people,ni-a-û-tim
copper from Tiritar",URUDU sa Ti-is-mur-na
minas of copper,ma-na URUDU
even there they received,a-di-in-ma  URUDU SIG5 i-di-in
talents minas of copper,GÛ .ro ma-na URUDU
good quality copper,URUDU SIG5
fleeces,ma-ski  wa-di-ii-tim
the rest of your copper,si-ti URUDU-kà
proceeds of dyed wool,SÎG . HI . A s2-ni-tim
retail merchants,ßd-si-ri ld
red wool,SIG! . HI . A sà-am-tum
before my departure,a-tal-ku SIG . HI . A
turn into copper of good quality,li-tur4-ma GEME2 4 12 U-zu-a a-na URUDU SIG5
copper,i-na URUDU
consignment,sëbultum
consignment,§é-bu-lâ-tim
consignment,sëbultum
as a consignment,a-na §é-bu-lâ-tim
he had him bring it as a consignment,ana sëbultim usäbilsu
consignment,§é-bu-lâ-ti-im
consignment,é-bu-ld-tum
in all four consignments,is-té-ni-is ar-bé é-bu-ld-tum
10 shekels of silver as consignments,10 GIN KÙ.BABBAR §é-bu-ul-tdm
consignment,§é-bu-ul-tdm
gift,fübultum
consignment,sübultum
transport,saprust
consignment,seprust
why are you constantly sending my interest-free loans (away) as consignments,ml-§u-um 3 ta-ad-mi-qâ-ti-a a-na §é-bu-lâ-tim 4 tù-us
I had sent you (fem.plur.) 5 shekels of silver as consignments,5 GfN Kù . BABBAR sé-bu-lâ-ti-im
he had him bring it,us-té-bi4-1d-ki-na-ti
consignment,sëbultum
consignment,§é-bu-lâ-tim
as a consignment,a-na §é-bu-lâ-tim
consignment,§é-bu-lâ-ti-im
consignment,é-bu-ld-tum
10 shekels of silver as consignments,10 GIN KÙ.BABBAR §é-bu-ul-tdm
consignment,§é-bu-ul-tdm
I had sent you (fem.plur.) 5 shekels of silver as consignments,5 GfN Kù . BABBAR sé-bu-lâ-ti-im
he had him bring it as a consignment,ana sëbultim usäbilsu
linen,GADA
fine textile,qutänum
linen cloths,kutänum
Leinengewand,kutänu
kutänu-cloths,kutänu
kutänu-Stoffe,kutänu
linen,GADA
fine textile,qutänum
linen cloths,kutänum
Leinengewand,kutänu
kutänu-cloths,kutänu
kutänu-Stoffe,kutänu
fine textile,şa-bä-tum qat-núm
as one shears a kutdnum,a-kà kut-dnim
thick and dark coloured(?) k.,sa-ßi-if-tim
thick woollen fleeces,ma-ask-ku sa-ßi-ú-tum
thin,qut-núm
fine/thin sheets of textile,qut-nï lubü' ti
thin threads,qat-nâ-tum
12 Akkadian textiles,18 T1G Ka a-kâ-di-e
one thin textile,1 T1G qd-at-na-am
kutänü-textiles,ku-ta-ni
thick and dark coloured(?) k.,kutänï sa-ßi-if-tim if é-ti-if-tim
fine textile,şa-bä-tum qat-núm
as one shears a kutdnum,a-kà kut-dnim
thick and dark coloured(?) k.,sa-ßi-if-tim
thick woollen fleeces,ma-ask-ku sa-ßi-ú-tum
thin,qut-núm
fine/thin sheets of textile,qut-nï lubü' ti
thin threads,qat-nâ-tum
12 Akkadian textiles,18 12 T1G Ka a-kâ-di-e
one thin textile,1 T1G qd-at-na-am
thick and dark coloured(?) k.,kutänï sa-ßi-if-tim if é-ti-if-tim
black,sa-al-mum
dark coloured,e-ti-um
dirty,war-kum
"clean, pure",za-ku
practical,kur-'i-tu
black,ku-ru-tim
a breed characterised by a white and curly fleece,şu-ppû
Akkadian textiles,ku-ta-nû
Abarnian textiles,a-bar-ni-a-am
Abarnian,abarnïû
good quality,SIG5 DIRIG
"old, good garment",lu-be-ru
altes (gutes) Gewand,lubârum
black,sa-al-mum
dark coloured,e-ti-um
dirty,war-kum
"clean, pure",za-ku
practical,kur-'i-tu
black,ku-ru-tim
white and curly fleece,şu-ppû
Akkadian textiles,ku-ta-nû
Abarnian textiles,a-bar-ni-a-am
Abarnian,abarnïû
good quality,SIG5
good garment,lu-be-ru
outstanding claims for your textiles,ba-a-ba-at ta-ku-us-té- f kà
outstanding claims,ta-ku-us-tâ'um
textiles,ta-ku-us-té-kà
fine quality,SIG5 DIRIG
very fine quality,na-ma-§u-hi SIG5 DIRIG
claims,ta-ku-us-tû-um
product,na-ma-an-§u-ii-um
product,na-wa-§u-hu-um
namassûhum,na-ma-§u-hi
namassûhum,na-ma-an-§u-ii-um
namassûhum,nawas(s)ûlıum
namassûhum,na-ma-§u-hu-um
textile,Ti-ZA-BU-i
menuniânum,me-nu-ni-a-nu
pirikannum,pi-ri-kà-ni
native textile product from Anatolia,me-nu-ni-a-nu
garments for servants,lu me-nu-ni-a-nu
clothing of the personnel,me-nu-ni-a-nu
é/bipisum,e-BI-sa-am
blanket,e-Bl-§u-um
pirikanniı,pi-ri-kà-ni
"Besides CCT 5, 12a, 9 textile",Ti-ZA-BU-i
menuniânum,menuniânum
é/bipisum,ébipisum
a native textile product from Anatolia,menuniı num
pirikannum,pirikanniı
blanket,e-BI-sf'
textile,Ti-ZA-BU-i
menuniânum,me-nu-ni-a-nu
é/bipisum,e-BI-sa-am
menuniânum,menuniı num
pirikannum,pi-ri-kà-ni
blanket,e-Bl-§u-um
mainly referring to,"AnOr VI, 15"
Hebrew,hofès
cloth or garment,e.

pirikanni(m),pirikanni(m)
i-BI-ta,i-BI-ta
GÎN,GIN
KÙ.BABBAR,KÙ.BABBAR
verbal adj.,ßarïs
eb f ßisum,eb f ßisum
ni-ib-ra-ru,ni-ib-ra-ru
a-qâ-ti-kà,a-qâ-ti-kà
2 ni-ib-ra-ru,2 ni-ib-ra-ru
sa a-bi-im,sa a-bi-im
